,CB-C-1,CB-C-4,CB-C-5,CB-C-6,CB-C-7,CB-C-8,CB-C-9,CB-C-10,CB-SA-1,CB-SA-2,CB-SA-3,CB-SA-4,CB-SA-5,CB-SA-6,CB-SA-7,CB-SA-8,CB-SA-11
#CLASS,Control,Control,Control,Control,Control,Control,Control,Control,Infected,Infected,Infected,Infected,Infected,Infected,Infected,Infected,Infected
ENSG00000117697,67,42,110,190,66,91,130,65,154,64,118,119,145,45,238,212,69
ENSG00000117707,0,1,5,0,7,0,5,4,0,1,0,9,5,0,24,0,0
ENSG00000117713,64,25,72,121,43,40,78,137,49,121,68,112,94,59,73,371,99
ENSG00000117724,21,3,31,106,13,2,43,28,43,37,6,9,11,14,35,41,33
ENSG00000117748,424,176,760,196,122,169,390,136,286,146,268,345,332,212,327,623,192
ENSG00000117751,141,60,223,183,47,105,204,41,128,115,153,130,126,90,183,269,99
ENSG00000117758,63,43,179,75,24,75,123,73,105,71,69,190,97,64,95,212,69
ENSG00000117791,47,0,35,1,8,1,0,7,10,1,8,5,6,1,33,33,24
ENSG00000117834,4,7,10,6,3,5,9,7,24,29,5,13,8,4,12,38,5
ENSG00000117859,131,89,189,158,75,88,171,136,173,126,117,244,165,95,180,332,147
